text,label
"The defendant's brief in opposition to class certification argues that individual issues predominate over common questions.",brief
"This brief argues that federal preemption bars all state tort claims arising from the defendant's compliance with federal regulations.",brief
"Respondent's brief demonstrates that the petitioner failed to exhaust administrative remedies before seeking judicial review.",brief
"The interlocutory brief addresses this Court's jurisdiction to hear an appeal from a non-final order granting partial summary judgment.",brief
"DEPOSITION OF JOHN DOE, taken pursuant to notice on March 3, 2024, at the offices of Smith & Jones LLP, New York, New York.",deposition
"Q: Please state your name for the record. A: My name is Jane Smith. Q: And what is your current occupation? A: I am a certified public accountant.",deposition
"The witness testified that she was present at the meeting on the date in question and observed the defendant sign the contract.",deposition
"Q: Did you prepare this financial report? A: Yes. Q: When did you prepare it? A: In October of last year, before the merger closed.",deposition
"EXAMINATION BY MR. JONES: Q: Mr. Williams, you were the CFO of the company during the period covered by this lawsuit, correct?",deposition
"The deponent stated under oath that no written agreement existed between the parties prior to the oral contract formed in June.",deposition
"Q: I'm handing you what's been marked Exhibit 5. Can you identify this document? A: Yes, that's the lease agreement I signed.",deposition
"Cross-examination by defense counsel revealed that the witness had not reviewed the underlying data before certifying the report.",deposition
"The deponent confirmed that she had sent the email marked Exhibit 12 and had received no response prior to filing the complaint.",deposition
"Q: Were you aware of the safety hazard at the time of the incident? A: No, I was not informed of any hazard prior to that day.",deposition
"Deposition of Dr. Robert Chen, M.D., expert witness retained by plaintiff, taken at plaintiff's counsel's offices in Chicago.",deposition
"Q: Please describe your methodology for calculating the lost profits figure you included in your expert report.",deposition
"The witness acknowledged on cross that he had made similar representations to investors in three prior transactions.",deposition
"Q: Did you consult with legal counsel before signing the confidentiality agreement? A: No, I did not.",deposition
"Continued deposition of Thomas Brown, resumed from January 15, 2024, with all counsel present and the witness still under oath.",deposition
"IT IS HEREBY ORDERED that defendant's motion to dismiss is DENIED. Plaintiff has adequately pleaded all required elements.",order
"THE COURT ORDERS that the parties shall complete fact discovery no later than sixty days from the date of this order.",order
"IT IS SO ORDERED that the preliminary injunction is GRANTED. Defendant is enjoined from disclosing plaintiff's trade secrets.",order
"Upon review of the motion and opposition, the Court hereby GRANTS partial summary judgment on the issue of breach of contract.",order
"IT IS ORDERED AND ADJUDGED that final judgment is entered in favor of plaintiff in the amount of $2,450,000 plus pre-judgment interest.",order
"The Court ORDERS the parties to submit a joint proposed scheduling order within fourteen days of this ruling.",order
"IT IS HEREBY ORDERED that this matter is referred to Magistrate Judge Davis for all discovery disputes and pretrial matters.",order
"The motion for class certification is GRANTED. The class is defined as all purchasers of the security during the class period.",order
"IT IS ORDERED that defendant shall produce all documents responsive to Request Nos. 14 through 22 within ten days.",order
"The Court DENIES the motion to exclude expert testimony. The expert's methodology satisfies the requirements of Federal Rule 702.",order
"IT IS SO ORDERED that the trial scheduled for April 15, 2024 is CONTINUED to June 3, 2024 at 9:00 a.m.",order
"The Court GRANTS the motion to transfer venue to the Northern District of California under 28 U.S.C. section 1404(a).",order
"IT IS HEREBY ORDERED that sanctions are imposed on plaintiff's counsel in the amount of $5,000 payable to the court within 30 days.",order
"The motion in limine is GRANTED IN PART and DENIED IN PART. Evidence of prior bad acts is excluded; character evidence is admitted.",order
"IT IS ORDERED that the case is DISMISSED WITHOUT PREJUDICE pursuant to Rule 41(a)(1) upon joint stipulation of the parties.",order
"EXHIBIT A: Purchase and Sale Agreement dated January 10, 2023, between Acme Corp. and Beta LLC, for the acquisition of real property.",exhibit
"Exhibit B: Email correspondence from John Smith to Jane Doe dated February 14, 2023, regarding the terms of the proposed settlement.",exhibit
"EXHIBIT C: Invoice No. 10047 issued by Contractor to Owner on March 5, 2023, in the amount of $127,500 for construction services.",exhibit
"Exhibit D: Certified copy of the deed of trust recorded in the county recorder's office on April 22, 2022, Document No. 2022-04789.",exhibit
"EXHIBIT E: Photograph taken at the scene of the accident on May 1, 2023, depicting skid marks on the roadway.",exhibit
"Exhibit F: Bank statement for Account No. ending in 7231 for the period January 1 through March 31, 2023.",exhibit
"EXHIBIT G: Medical records from City General Hospital for patient John Doe, dated between June 1 and December 31, 2022.",exhibit
"Exhibit H: Expert report of Dr. Patricia Lee, Ph.D., dated September 15, 2023, regarding causation and damages.",exhibit
"EXHIBIT I: Certified copy of defendant's prior criminal conviction in Case No. 2018-CR-00451.",exhibit
"Exhibit J: Business records of ABC Company reflecting all transactions with the defendant during the relevant period.",exhibit
"EXHIBIT K: Surveillance video footage from the parking lot camera on the date of the alleged incident, produced in native format.",exhibit
"Exhibit L: Corporate resolution of the Board of Directors of XYZ Corporation authorizing the sale of the subsidiary.",exhibit
"EXHIBIT M: Lease agreement between Landlord and Tenant effective October 1, 2022, for premises located at 100 Main Street.",exhibit
"Exhibit N: Certified payroll records for the plaintiff for the fiscal years 2020 through 2023, as maintained in the ordinary course.",exhibit
"EXHIBIT O: Text message exchange between defendant and co-defendant on the night of November 3, 2022, extracted from defendant's phone.",exhibit
